match_id,radiant_win,radiant_team,dire_team
8988868323,False,"0,0,0,0,0","0,0,0,0,0"
8988862417,False,11,11
8988862393,False,"0,0,0,0,0","0,0,0,0,0"
8988860245,False,"0,0,0,0,0","0,0,0,0,0"
8988856881,False,"15,25,98,81,86","107,9,36,109,90"
8988853172,False,"86,44,94,12,98","102,6,101,18,26"
8988852862,False,"51,87,48,85,39","107,91,44,69,18"
8988852827,False,"0,0,0,0,0","0,0,0,0,0"
8988852618,False,"26,8,99,25,50","108,88,1,11,51"
8988852351,False,"20,84,46,107,155","9,27,60,74,8"
8988849847,True,"4,84,91,135,35","36,101,8,120,40"
8988849164,False,"3,56,35,17,27","40,43,44,91,6"
8988846818,False,"95,35,26,102,100","8,42,21,84,105"
8988845604,True,"86,105,25,84,54","44,71,80,97,39"
8988845397,False,"25,57,14,8,31","35,73,18,48,128"
8988845138,False,"83,8,80,6,26","48,105,60,90,42"
8988844895,True,"11,112,86,96,6","74,9,4,108,84"
8988844584,False,"14,9,131,52,18","11,53,23,71,74"
8988844028,True,"1,64,35,69,27","26,11,16,5,4"
8988843711,True,"86,33,9,14,35","21,42,6,31,11"
8988843672,False,"2,11,83,96,10","59,99,91,109,61"
8988843504,False,"84,73,14,21,43","86,145,97,39,22"
8988843116,False,"29,55,59,9,40","13,20,119,44,85"
8988843035,True,"86,52,23,45,76","85,53,14,40,82"
8988842873,True,"129,5,14,75,44","62,35,6,42,37"
8988842244,False,"90,95,101,62,126","44,19,52,86,71"
8988842028,False,"47,15,18,62,26","102,88,111,128,91"
8988842025,True,"43,71,86,2,44","52,56,84,135,14"
8988841837,True,"114,86,135,100,31","14,45,87,61,11"
8988841562,True,"105,112,114,85,109","43,29,111,30,4"
8988841380,True,"86,54,69,104,25","78,14,45,5,108"
8988841372,False,"62,101,7,22,18","53,20,14,91,32"
8988841367,False,"49,9,40,123,27","16,7,25,90,85"
8988841173,True,"84,114,5,71,86","53,97,105,9,74"
8988841118,False,"20,25,15,14,29","9,18,138,69,108"
8988840975,False,"74,99,83,90,42","145,1,82,47,105"
8988840934,True,"90,76,8,10,123","37,7,22,20,4"
8988840835,True,"119,43,14,8,86","5,39,105,19,72"
8988840621,True,"22,30,41,53,72","54,58,7,35,23"
8988840519,True,"108,81,84,102,44","111,89,69,67,119"
8988840485,False,"107,42,104,20,97","9,84,40,106,35"
8988840398,False,"62,21,55,71,136","63,81,121,14,112"
8988840205,True,"79,52,18,102,35","44,15,36,20,14"
8988839939,False,"14,104,35,18,27","138,26,101,2,93"
8988839835,False,"85,70,79,6,101","26,138,14,38,20"
8988839777,True,"113,43,64,135,93","9,20,100,11,119"
8988839597,False,"29,3,4,64,11","18,7,14,22,71"
8988839527,True,"57,27,45,72,9","94,90,35,105,22"
8988839465,True,"68,48,28,113,101","21,22,14,106,8"
8988839408,False,"106,6,9,42,50","135,12,86,39,40"
8988839252,True,"12,20,100,47,86","105,41,80,61,104"
8988839014,False,"69,22,2,8,71","44,52,37,41,126"
8988838978,False,"42,31,37,11,4","131,138,22,71,14"
8988838961,True,"84,34,63,42,88","46,32,8,86,99"
8988838920,True,"26,85,36,42,97","60,34,48,14,68"
8988838722,True,"119,48,83,14,69","25,2,9,86,8"
8988838717,True,"41,84,107,49,42","80,29,60,104,77"
8988838565,True,"86,129,51,25,6","8,97,15,27,47"
8988838535,False,"82,13,64,44,17","53,15,105,90,102"
8988838489,False,"88,52,42,9,53","36,8,7,47,111"
8988838470,True,"6,64,5,75,106","28,44,68,84,45"
8988838379,False,"54,17,38,114,121","11,94,86,14,26"
8988838225,False,"86,74,49,27,1","97,112,96,121,77"
8988838152,False,"14,43,99,8,111","86,73,2,6,64"
8988838039,False,"11,71,21,46,27","14,47,113,6,155"
8988838012,True,"1,128,30,99,84","129,7,48,21,11"
8988837922,True,"126,71,32,31,69","97,10,5,104,64"
8988837890,True,"37,81,155,105,75","7,42,25,123,90"
8988837846,True,"131,20,28,107,5","53,128,46,32,30"
8988837760,True,"11,84,99,60,21","128,119,93,110,71"
8988837585,False,"40,74,101,54,107","108,26,120,8,105"
8988837341,False,"137,37,114,62,55","30,8,108,25,41"
8988837225,True,"74,31,96,46,64","37,41,102,30,155"
8988837213,True,"11,74,25,35,136","49,93,26,126,137"
8988837202,True,"49,83,22,90,41","43,64,37,23,18"
8988837088,False,"26,42,37,43,4","91,86,64,81,111"
8988836997,True,"6,43,42,86,104","71,39,20,11,68"
8988836960,True,"27,18,100,44,123","6,67,97,49,34"
8988836695,False,"110,128,20,121,14","30,54,108,25,47"
8988836375,True,"27,63,86,55,138","48,8,123,110,29"
8988836351,True,"5,93,28,90,155","44,3,37,43,29"
